"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2017","32.8","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2018","26.4","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2019","26.9","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2020","24.7","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2021","29.6","M","A","2022-02-02","-","-"
"Cambodia","Beach litter originating from national land-based sources ends in the Ocean","2022","34.9","M","A","2023-10-08","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2017","0.4","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2018","0.4","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2019","0.3","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2020","0.4","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2021","0.9","M","A","2022-02-02","-","-"
"Cameroon","Beach litter originating from national land-based sources ends in the Ocean","2022","2.2","M","A","2023-10-08","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2017","37.6","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2018","30.1","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2019","34.1","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2020","39.4","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2021","33.2","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2022","46.8","M","A","2023-10-08","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2017","75.5","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2018","75.3","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2019","73","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2020","69.7","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2021","65.3","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2022","61.1","M","A","2023-10-08","-","-"
