Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
Timor-Leste,Beach litter count per km2 of coastline,2016,172592.3,E,A,2022-05-19,-,-,Asia
Tonga,Beach litter count per km2 of coastline,2017,630050.5,E,A,2022-05-19,-,-,Oceania
Tonga,Beach litter count per km2 of coastline,2021,8000000.0,E,A,2024-04-30,-,-,Oceania
Trinidad and Tobago,Beach litter count per km2 of coastline,2016,1517814.2,E,A,2022-05-19,-,-,North America
Trinidad and Tobago,Beach litter count per km2 of coastline,2017,2355550.1,E,A,2022-05-19,-,-,North America
Trinidad and Tobago,Beach litter count per km2 of coastline,2018,3285571.1,E,A,2022-05-19,-,-,North America
Trinidad and Tobago,Beach litter count per km2 of coastline,2021,127336.7,E,A,2024-04-30,-,-,North America
Trinidad and Tobago,Beach litter count per km2 of coastline,2022,158045.6,E,A,2024-04-30,-,-,North America
Tunisia,Beach litter count per km2 of coastline,2019,1040778.5,E,A,2022-05-19,-,-,Africa
Tunisia,Beach litter count per km2 of coastline,2021,598796.0,E,A,2024-04-30,-,-,Africa
Türkiye,Beach litter count per km2 of coastline,2016,2511674.6,E,A,2022-05-19,-,-,Asia
Türkiye,Beach litter count per km2 of coastline,2017,5753342.9,E,A,2022-05-19,-,-,Asia
Türkiye,Beach litter count per km2 of coastline,2018,451998.6,E,A,2022-05-19,-,-,Asia
Türkiye,Beach litter count per km2 of coastline,2019,183296.5,E,A,2022-05-19,-,-,Asia
Türkiye,Beach litter count per km2 of coastline,2021,17657.4,E,A,2024-04-30,-,-,Asia
Türkiye,Beach litter count per km2 of coastline,2022,43014.1,E,A,2024-04-30,-,-,Asia
Uganda,Beach litter count per km2 of coastline,2022,148450.8,E,A,2024-04-30,-,-,Africa
Ukraine,Beach litter count per km2 of coastline,2017,11371.7,E,A,2022-05-19,-,-,Europe
Ukraine,Beach litter count per km2 of coastline,2018,1229709.5,E,A,2022-05-19,-,-,Europe
Ukraine,Beach litter count per km2 of coastline,2021,4000000.0,E,A,2024-04-30,-,-,Europe
United Arab Emirates,Beach litter count per km2 of coastline,2016,1807540.2,E,A,2022-05-19,-,-,Asia
United Arab Emirates,Beach litter count per km2 of coastline,2017,9460278.2,E,A,2022-05-19,-,-,Asia
United Arab Emirates,Beach litter count per km2 of coastline,2018,716677.8,E,A,2022-05-19,-,-,Asia
United Arab Emirates,Beach litter count per km2 of coastline,2021,92305.0,E,A,2024-04-30,-,-,Asia
United Arab Emirates,Beach litter count per km2 of coastline,2022,463640.2,E,A,2024-04-30,-,-,Asia
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2015,375.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2016,345.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2017,287.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2018,255.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2019,248.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2020,183.0,C,A,2024-03-04,-,file,Europe
United Kingdom of Great Britain and Northern Ireland,Beach litter count per km2 of coastline,2021,214.0,C,A,2024-03-04,-,file,Europe
