"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2019","218","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2020","259","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2021","223","M","A","2022-02-02","-","-"
"Canada","Beach litter originating from national land-based sources ends in the Ocean","2022","320","M","A","2023-10-08","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2017","3726","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2018","3889","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2019","3904","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2020","3832","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2021","3676","M","A","2022-02-02","-","-"
"Chile","Beach litter originating from national land-based sources ends in the Ocean","2022","3501","M","A","2023-10-08","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2017","649214","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2018","576566","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2019","501870","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2020","497435","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2021","726819","M","A","2022-02-02","-","-"
"China","Beach litter originating from national land-based sources ends in the Ocean","2022","580117","M","A","2023-10-08","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2017","6954","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2018","5330","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2019","5038","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2020","8883","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2021","7325","M","A","2022-02-02","-","-"
"Colombia","Beach litter originating from national land-based sources ends in the Ocean","2022","9863","M","A","2023-10-08","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2017","13765","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2018","15379","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2019","15869","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2020","17648","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2021","17060","M","A","2022-02-02","-","-"
"Comoros","Beach litter originating from national land-based sources ends in the Ocean","2022","17456","M","A","2023-10-08","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2017","192","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2018","106","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2019","35","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2020","182","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2021","149","M","A","2022-02-02","-","-"
"Congo","Beach litter originating from national land-based sources ends in the Ocean","2022","42","M","A","2023-10-08","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2017","1760","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2018","1673","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2019","1849","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2020","1987","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2021","1835","M","A","2022-02-02","-","-"
"Costa Rica","Beach litter originating from national land-based sources ends in the Ocean","2022","2006","M","A","2023-10-08","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2017","14","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2018","770","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2019","1008","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2020","1107","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2021","945","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2022","1374","M","A","2023-10-08","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2017","2554","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2018","2290","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2019","2529","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2020","2521","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2021","2819","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2022","2641","M","A","2023-10-08","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2017","37","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2018","45","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2019","56","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2020","42","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2021","45","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2022","87","M","A","2023-10-08","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2017","9472","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2018","11227","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2019","10906","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2020","10567","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2021","11053","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2022","12143","M","A","2023-10-08","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2017","7","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2018","10","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2019","8","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2020","7","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2021","4","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2022","8","M","A","2023-10-08","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2017","15","M","A","2022-02-02","-","-"
